city,name
Ангарск,1
Байкальск,6
Баргузин,3
Баргузинский район,2
Большие Коты,2
Большое Голоустное,6
Горячинск,3
Еланцы,3
Зама,1
Иркутск,1
Иркутская область,3
Иркутский район,8
Кабанский район,9
Куркут,1
Листвянка,2
Малое море,2
Мурино,1
Ольхонский,23
Порт Байкал,1
Поселок Листвянка,3
Прибайкальский,2
Республика Бурятия,6
Сарма,3
Сахюрта,9
Северо-Байкальский район,1
Северобайкальск,2
Слюдянка,1
Слюдянский район,3
Сухой Ручей,1
Усть-Баргузин,1
Утулик,5
Хужир,17
Шида,4
