,name,url,address,city,"min_price, RUB","distance, km",service,rating,good_review,bad_review
0,База отдыха Наратэй,https://mirturbaz.ru/russia/irkutskaya/naratey,"Иркутская область, Ольхонский район, местность Камыши 1, дом БААТАР",Куркут, 3 500 ,191.8,"Русская баня; Конференц-зал; Подлёдная рыбалка; Игровой детский уголок; Открытая детская площадка; Аренда (прокат); Бесплатная мангальная зона; Крытая беседка; Экскурсия - ""Остров Огой""; Экскурсия ""Сарминское ущелье и Курминские гроты""; Экскурсия ""Долина каменных духов"" и ""Соленые озера""; Экскурсия ""Ущелье водопадное""; Экскурсия ""Сагаан Заба""; Экскурия ""Весь Ольхон за один день""; Экскурсия ""Пещеры Тажеранских степей""; Русский бильярд; Аэрохоккей; Настольный футбол; Прокат коньков; Открытые спорт-площадки; Настольный теннис; ",7.3,"Байкал. Номера приличные, все, что необходимо в наличии. Замечательный завтрак; Приветливый персонал; пребывание на этой базе было сглажено потрясающей природой Байкала. Территория неплохая, ухоженная.; ","Не выявлены; Не указаны; в номере душевая комната очень маленькая, ещё и унитаз стоит впритык к душевой кабине, вдвоем можно даже не пытаться войти. Тусклое освещение по всему номеру и отсутствие какой-либо звукоизоляции.; "
1,Гостевой дом Панорама,https://mirturbaz.ru/russia/irkutskaya/panorama1,"Иркутская область, Ольхонский район, с.Сахюрта",Ольхонский, 1 650 ,193.5,Караоке; Бассейн; Беседки; Зона барбекю; Кафе с летней палубой; Банкетный зал; Зимняя рыбалка; Прокат снастей; Детская площадка; ,8.5,"Чистый, свежий номер с большими панорамными окнами, с видом на залив. Горячий душ, вкусные позы. Заботливые но ненавязчивые хозяева.; все нормально; Домики как на фото, внутри все удобства — минимальные для турбазы — душ, туалет, телевизор — у которого не работает ни один канал и не возможно подключить (спросили у соседей — они тоже не смогли настроить), холодильник. Пляжа нет, спуска к воде нет. Из детской площадки — только качели.
Хозяйка встретила в баре предупредив, что обед и ужин заказывать не менее чем за час, завтрак с вечера.
Гостей было не много, а точнее вместе с нами было занято всего три номера.
Единственное, что сгладило всё негативное впечатление — это красивейший вид Байкала и свежий воздух. В районе Сахюрты все места красивые, и если вы собираетесь туда ехать отдыхать — выбирайте другой гостевой дом. «Панорама» — 2,5 балла из 5; ","Очень плохой WI-FI, телевизор смотреть невозможно.; грязный пляж из за нашествия коров; Кухня оказалась невкусная, после ужина второго дня у ребенка и 1 взрослого началась диарея. пришлось ходить питаться в соседнюю турбазу. Вечером накануне отъезда все отдыхающие вместе общались слушали музыку — пришел хозяин базы и сказал, что выселит всех прямо «сейчас», т.е. в час ночи. Хотя никто никому не мешал, все вместе общались ))
Никакой доброжелательности, невкусная еда, больше туда не поедем и не рекомендуем никому.; "
2,Гостиный двор Азатей,https://mirturbaz.ru/russia/irkutskaya/azatey,"Иркутская область, Ольхонский район, пос. Сахюрта, ул. Победы 10",Сахюрта, 1 000 ,255.0,Магазины рядом; Мангальная зона; Кафе; Самостоятельное приготовление пищи; Для детей; Бесплатно к услугам; Настольные игры; Прогулки на корабле; Катание на банане; Велотур; Автобусные туры; Водные туры; Конные туры; ,7.8,"На базе отдыха мне многое пришлось по душе, начиная с того, что расположение действительно очень удачное и заканчивая тем, что дают мегаклассное новое постельное белье, а спать приходится на удобных кроватках=)) Здоровый сон – прекрасный отдых=)) Очень классно, что рядом есть магазинчики, да и позагорать можно на ближнем пляже весьма удачно.; В данном отзыве отсутствует комментарий; ","Шум был слышен от соседей, словно они сидели около меня на кровати. В номере был телек, но включить его не удалось, так как антенны то не оказалось=((; "
3,База отдыха Байкал Майами,https://mirturbaz.ru/russia/irkutskaya/baykal-mayami,"Иркутская область, Ольхонский район, пос. Сахюрта, Переулок Степной, д. 3",Сахюрта, 1 000 ,193.8,"Wi-Fi; Аренда велосипеда; Настольный футбол; Бассейн; Зона отдыха с гамаками, шезлонги; Персональное место для костра и барбекю; Общая кухня; Столовая; Пляж; Детская площадка; Кедровая бочка; ",7.9,"Очень удобное расположение , не далеко находяться зуум- хагун где можно наслодиться пляжной отмосферой , вода тёплая , ""веранда"" как всегда отлично работает . Ольхон также недалеко , но всё на авто . Вообще хорошо отдохнули . Большое спасибо администратору , приветливая отзывчивая , отмосфера приятная .; Чистенько в домике. Постельное белье чистое и поглаженное. Улыбчивая и отзывчивая девушка-администратор Наталья. Рядом с остановкой общественного транспорта, недалеко от Байкала и рядом переправа на Ольхон. Находится в деревне, поэтому есть магазины в шаговой доступности. На базе есть микроволновка, электропечи для готовки, холодильник, чайник. Предоставляют уголь, мангал и решётки.; красивое и тихое место; ","Очень большой недостаток база не как не обозначена . Нет вывиски , искали . Пляж конечно есть , но местные животные его загадили , просто нет места .; Изоляции между номерами нет вообще. Соседей приходилось убеждать соблюдать тишину после 23 ч. Электропечи и помещение под самостоятельную готовку в неприятном (неопрятном) состоянии. Мне достались подушки, состоящие из кусочков синтепона, которым я пыталась каждую ночь придать форму подушки 🤣; отсутствие звукоизоляции и достаточного общего места для размещения двух и более групп, перебои с подачей воды.; "
4,Гостевой дом Рыжая Сова,https://mirturbaz.ru/russia/irkutskaya/ryjaya-sova,"Иркутская область, Слюдянский район, поселок Мангутай",Слюдянка, 750 ,80.5,Садовые качели; Общий зал; Лужайка; Зона барбекю; Большая беседка; Бассейн; Русская баня; Общая кухня; Детский бассейн; Домашние продукты; ,9.8,"Мне уже рассказывали об этом месте, все мои ожидания полностью оправдались. Там очень уютно и гостеприимно, нас встретила Светлана, прием нам понравился. Кормили вкусно, хозяева всегда готовили еду, которая соответствовала нашим пожеланиям. Кормили вкусно и очень разнообразно, все номера были уютными и теплыми. Вечером разжигали камин, отдых прошел отлично.; Отличное место, в нём мы замечательно провели время, понравились отзывчивые хозяева. На территории и в номерах чисто, царит порядок. На территории имеется баня и бассейн, есть качели, мангал и беседка, отдохнули мы хорошо. Есть куда пройтись, имеется магазинчик недалеко от базы. Отдых нам понравился, рекомендую.; ",Не указаны; Не указаны; 
5,Туристическая база Форт Байкал,https://mirturbaz.ru/russia/irkutskaya/fort-baykal,"Иркутская область, Иркутский район, пос. Байкал (падь Щелка)",Большие Коты, 1 800 ,58.0,Парковка; Кафе; Тихая охота; Конные прогулки; Зимние развлечения; ,,,
6,Гостевой комплекс Семейный,https://mirturbaz.ru/russia/buryatiya/semeynyy1,"Республика Бурятия, Прибайкальский район, пос. Горячинск, ул. Октябрьская, 59",Горячинск, 2 800 ,136.7,Детская площадка; Прокат велосипедов; Прокат спортивного инвентаря; Настольные игры; Мангальная зона; Кафе; Баня; СПА; ,,,
7,Гостевой дом Адмирал,https://mirturbaz.ru/russia/irkutskaya/usadba-daryana,"Иркутская область, о-в Ольхон, п. Хужир, ул. Обручева, 12",Хужир, 3 000 ,229.6,Русская баня; Детская площадка; Экскурсии; Рыбалка; Шахматы; Дартс; Спортивная площадка; Катание на лошадях и велосипедах; Бар; ; Специально оборудованные места для отдыха; Парковка; Библиотека; Wi-Fi; ,7.3,"Приезжал с семьёй провести уик-энд. Понравились деревянные домики, чистая, ухоженная территория самой базы отдыха, широкий спектр услуг. Покатались на лошадках с инструктором, заценили местную дровяную баню, готовили зимний шашлык в мангале. В целом услуги на уровне.; Очень красивое место. Приезжала сюда одна в отпуск, понравились небольшие магазинчики с сувенирами и поделками местных мастеров, а также свежая жареная рыба – очень вкусная. Предоставляется напрокат спортивная экипировка, велосипеды и т.д., так что можно провести отпуск активно и с пользой.; Понравился интерьер внутри деревянных домов, просторные комнаты. Вокруг базы отдыха очень красивая природа, видно озеро и горные массивы. Это место – рай для фотографов.; ","Очень не понравился сервис. В последний день отдыха отопление практически отсутствовало, в доме было очень холодно. На наши жалобы администрация базы отдыха никак не отреагировала.; Ложка дёгтя в бочке мёда – очень странный сервис (игнор – это теперь везде практикуется?), а также очень невкусная, если не сказать безвкусная, еда.; Плюсы во многом перечёркивает хамское отношение персонала. Ездили с друзьями на неделю отдохнуть, столкнулись с массой проблем – от отсутствия горячей воды до отвратительного питания (а-ля картофельное пюре из школьной столовой).; "
8,Гостевой дом на Ольхоне,https://mirturbaz.ru/russia/irkutskaya/gostevye-domiki-na-olhone,"Иркутская обл., Ольхонский р-н, д. Харанцы, в 5 км. от Хужира, Степная 3",Ольхонский, 1 400 ,235.5,"Кафе; Баня; Пляж; Водные, автомобильные экскурсии; Мангальные зоны; Места для автомобилей; Прокат велосипедов; ",,,
9,База отдыха Энергия,https://mirturbaz.ru/russia/buryatiya/energiya1,"Республика Бурятия, поселок Байкальский прибой, Посольский сор",Кабанский район, 2 000 ,97.7,Детская площадка; Детский батут; Бадминтон; Волейбол; Кинозал; Прокатный инвентарь; Прокат квадроцикла; Прокат катера; Прокат гидроцикла; Настольный теннис; Прокат велосипедов; Катамаран; Лодка; Бильярд; ; Пирс; Мангальная площадка; Баня; Пляж; Столовая; ,8.8,"Все отлично, чисто, кухня хорошая, вкусно готовят. Ухоженная территория, персонал учтивый, добропорядочный.; ","Дорога плохая, и прокат дополнительных услуг должен работать всегда.; "
