,name,url,address,city,"min_price, RUB","distance, km",service,rating,good_review,bad_review
0,Мини-отель Байкальские просторы,https://ostrovok.ru/hotel/russia/baykal/mid8476361/baikalskie_prostory/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Чапаева, д. 41, Листвянка",Листвянка,"
2987 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,,,
1,Отель Маяк,https://ostrovok.ru/hotel/russia/baykal/mid7816262/mayak_hotel_listvyanka/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Горького, дом 85а, Листвянка",Листвянка,"
5200 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,,"Рядом есть все в шаговой доступности.; Расположение- великолепное, практически в центре Листвянки, напротив- автокасса, конечная остановка маршруток, очень удобно! Очень понравились каши и блинчики! Ресторан очень чистый, светлый, с видом на Байкал.; Отель шикарный, расположен в самом центре поселка Очень вкусный, всегда свежий завтрак, на завтрак был шведский стол; Спасибо огромное за прекрасный отдых!отель чудесный!администраторы умнички,отзывчивые!обязательно вернёмся ещё!; Отель расположен рядом с парковкой маршрутных такси. Бюро экскурсий. Все развлечения а шаговой доступности.; остальное ок, очень удобное расположение; Очень вкусные завтраки , все свежее . У нас номер был в Маячке , дополнительный корпус , не удобно ходить в основной корпус , надо одеться чтоб идти на завтрак , в сауну , зимой это плохо. В номере есть все туалетные принадлежности , даже зубная щётка с пастой, что не во всех отелях такого класса, уборка через день , меняют халаты даже .; ",
2,Гостиница Даурия,https://ostrovok.ru/hotel/russia/baykal/mid7685971/dauria_hotel_2/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"поселок Листвянка, ул. Куликова, д. 44, Листвянка",Листвянка,"
3784 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,"Расположение, вид, гостеприимство. И вообще всё супер.; Обслуживание, чистота, наличие посуды в номере.; Очень красивая территория, есть где посидеть на улице, номера хоть и небольшие, но очень удобные, рядом с кроватью есть розетки с обеих сторон, нам попался номер с двумя окнами, что тоже очень красиво.; Соотношение цена/качество; ",
3,Отель Гранд Байкал,https://ostrovok.ru/hotel/russia/baykal/mid8481257/grand_baikal/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"мкр. Красный Ключ, 91, Байкальск",Байкальск,"
4628 ",,Бесплатный интернет; Трансфер; Парковка; Бар или ресторан; Конференц-зал; ,,,
4,Отель Villa Malina,https://ostrovok.ru/hotel/russia/baykal/mid8743463/villa_malina_hotel/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Ворошилова, 33, Ольхон",Ольхон,"
12 000 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,"Хороший Отель. Есть бани, бассейн. Кухня отличная. Завтраки сытные.; Завтрак шведский стол, достаточно богатый, вкусно. Хорошее расположение. Радушный, компетентный персонал; Расположение, завтрак, рестик дороговат, в целом норм, сравнить не с чем.; ",
5,Отель Baikal Terra,https://ostrovok.ru/hotel/russia/baykal/mid7864494/mini_hotel_baikal/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Ворошилова, д.36, Ольхон",Ольхон,"
3100 ",47.0,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Конференц-зал; ,,"Отель находится практически на берегу Байкала, вблизи скалы Шаманки, Бурханчика, Сэргэ и пляжа Завтрак очень сытный и вкусный, как у бабушки))) Постельное белье из хлопковых тканей, чистое и приятно пахло. Сотрудники отеля строго следят за чистотой. Было очень приятно провести время именно здесь; Отель находится возле мыса Бурхан в пешей доступности, рядом центральные улицы Пушкина и Байкальская, где есть магазины и кафе; Отличное место для проживания, цена качество соответствует. Хорошие завтраки. Приятная женщина на ресепшн. Отличное обслуживание, единственный нюанс - это очень много контактов и непонятно на какой звонить, по многим трубку не поднимают. Во всем остальное все супер, приятная женщина на ресепшн, вкусные завтраки. Рекомендую.; ",
6,Гостевой Дом Усадьба Набаймар,https://ostrovok.ru/hotel/russia/baykal/mid7862173/turbaza_usadba_nabaimar/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Первомайская ул., 18, Ольхон, Ольхон",Ольхон,"
5821 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,"Приятно как дома :) очень приветливый и дружелюбный персонал. Все чисто и аккуратно, в столовой есть горячая вода для чая и кофе. В комнате тепло, не сыро. Общие зоны тоже чистые. Можно заказать завтраки/обелы/ужины. Также помогут организовать туры, если надо. Расположение очень удобное: пару минут до шаманки, до автобусной остановки минут 10, также как и до магазинов, кафе.; Приятно как дома :) очень приветливый и дружелюбный персонал. Все чисто и аккуратно, в столовой есть горячая вода для чая и кофе. В комнате тепло, не сыро. Общие зоны тоже чистые. Можно заказать завтраки/обелы/ужины. Также помогут организовать туры, если надо. Расположение очень удобное: пару минут до шаманки, до автобусной остановки минут 10, также как и до магазинов, кафе.; ",
7,Гостевой дом Уютная лиса,https://ostrovok.ru/hotel/russia/baykal/mid10006251/gostevoj_dom_uyutnaya_lisa/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Заречная, д.6, Слюдянка",Слюдянка,"
1700 ",,Бесплатный интернет; Парковка; Подходит для детей; Конференц-зал; Разрешено с домашними животными; ,9.0,"Была инструкция с местами, где поесть и так далее, это здорово! + Можно было что-то спросить у хозяев в чате, это удобно. Для тех, кто с детьми, есть игровая комната с проектором для мультфильмов за небольшую плату.; Была инструкция с местами, где поесть и так далее, это здорово! + Можно было что-то спросить у хозяев в чате, это удобно. Для тех, кто с детьми, есть игровая комната с проектором для мультфильмов за небольшую плату.; ",
8,Гостевой Дом Усадьба Демидова,https://ostrovok.ru/hotel/russia/baykal/mid8133968/usadba_demidova_/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Судзиловского, д.2, Листвянка",Листвянка,"
5100 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,,,
9,Гостевой дом Островского 11,https://ostrovok.ru/hotel/russia/baykal/mid8678721/guest_house_ostrovskogo_11/?guests=1&page=1&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Островского, д.11, Листвянка",Листвянка,"
4064 ",,Бесплатный интернет; Трансфер; Парковка; ,10.0,"Очень удобная кровать. Чисто и в отеле, и на территории, и в номере. Очень хорошая хозяйка, добрая отзывчивая, но не навязчивая, все понравилось. Вернулся бы сюда ещё раз; Очень чисто, уютно и доброжелательные хозяева👍🏻; Чистый и уютный номер со всем необходимым, кровать удобная, есть затемняющие шторы Идеальная чистота во всем здании Очень приятная и дружелюбная хозяйка, встретила лично, все показала в отеле, рассказала про Листвянку; ",
